video_id,viewCount,likeCount,dislikeCount,comment,neg,neu,pos,compound
eiOvZ9gzWnQ,226,4,0,,,,,
oiH-B_5vojU,418,29,0,அற்புதமான பாடல் வரி அழகான இயற்கை,0.0,1.0,0.0,0.0
oiH-B_5vojU,418,29,0,👌👌🎉,0.0,0.063,0.937,0.9321
oiH-B_5vojU,418,29,0,Super akka intha mathari parthu romba nall achi akka,0.0,0.672,0.328,0.5994
oiH-B_5vojU,418,29,0,அருமை காட்ச்சி,0.0,1.0,0.0,0.0
Yif3TL9hio8,481,8,0,ஹாய் 🎉🎉🎉😅😅😅,0.0,0.455,0.545,0.9274
DXpdtQ9AEtg,492,9,0,ஹாய் s,0.0,1.0,0.0,0.0
6s8q_Cyd_MY,732,17,0,அக்கா 🎉,0.0,0.426,0.5740000000000001,0.4019
6s8q_Cyd_MY,732,17,0,ஹாய் s,0.0,1.0,0.0,0.0
Aew1z9CeFRk,31,6,0,அக்கா 🎉,0.0,0.426,0.5740000000000001,0.4019
Aew1z9CeFRk,31,6,0,ஹாய் s,0.0,1.0,0.0,0.0
5705MIDj2tY,448,19,0,ஹாய் s,0.0,1.0,0.0,0.0
c3wbDOVBZx8,450,22,0,😅😅😅😂😂,0.112,0.442,0.445,0.9062
c3wbDOVBZx8,450,22,0,ஹாய் s,0.0,1.0,0.0,0.0
c3wbDOVBZx8,450,22,0,எம்மோவ்😁😁 இப்படி எல்லாம் பேசுறாங்களா இவங்க 😁😂😂😊,0.073,0.496,0.431,0.9628
c3wbDOVBZx8,450,22,0,😂😂😂😂🎉,0.197,0.338,0.465,0.9231
jFnxrv6X6oo,574,15,0,ஹாய் s,0.0,1.0,0.0,0.0
jFnxrv6X6oo,574,15,0,🎉🎉🥰,0.0,0.282,0.718,0.9136
jFnxrv6X6oo,574,15,0,Super ka,0.0,0.204,0.796,0.5994
24ax-LT6MKA,417,11,0,😂😂😂😂😂😂,0.218,0.345,0.437,0.9468
LlQzdOnWfi4,551,23,0,சூப்பர் கா,0.0,1.0,0.0,0.0
LlQzdOnWfi4,551,23,0,👌👌👌👌👌😋😋😋,0.0,0.227,0.773,0.9829
tbu-okzLCrU,579,18,0,அடுத்த மாதம் சிக்ஸ் பேக் வரனும் 😂,0.139,0.584,0.277,0.4404
tbu-okzLCrU,579,18,0,Nice song,0.0,0.263,0.737,0.4215
tbu-okzLCrU,579,18,0,🚲🚲🚲🚲🚲👌👌👌👌,0.0,0.169,0.8310000000000001,0.9736
tbu-okzLCrU,579,18,0,👌👌👌👌,0.0,0.0,1.0,0.9736
tbu-okzLCrU,579,18,0,🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲,0.0,1.0,0.0,0.0
PHaoK4AzIek,3122,232,0,❤❤❤❤,0.0,0.192,0.808,0.9571
oSb7MdI2tEY,599,11,0,அக்கா 🎉,0.0,0.426,0.5740000000000001,0.4019
oSb7MdI2tEY,599,11,0,Vera level,0.0,1.0,0.0,0.0
oSb7MdI2tEY,599,11,0,👌👌👌👌,0.0,0.0,1.0,0.9736
oSb7MdI2tEY,599,11,0,சூப்பர் 🎉🎉🎉🎉🎉,0.0,0.308,0.6920000000000001,0.91
TDyuhD7poJg,622,9,0,,,,,
08qinj4Nf7Y,49,7,0,,,,,
6KH45xsuqfU,108,4,0,,,,,
TMA9J5I_szQ,3462,70,0,அருமை அருமை😂😂😂,0.203,0.391,0.406,0.8271000000000001
LHZBK4S5gPw,958,24,0,👌👌👌👌🎉,0.0,0.035,0.965,0.9782
LHZBK4S5gPw,958,24,0,அருமை அருமை சகோதரி 👍👍👍,0.0,1.0,0.0,0.0
LHZBK4S5gPw,958,24,0,Super super sister,0.0,0.114,0.886,0.8316
LHZBK4S5gPw,958,24,0,Good health good life 🧬,0.0,0.341,0.659,0.7003
LHZBK4S5gPw,958,24,0,Hi சாய் ❤️,0.0,1.0,0.0,0.0
LHZBK4S5gPw,958,24,0,😮😮😮,0.0,1.0,0.0,0.0
LHZBK4S5gPw,958,24,0,Very nice video,0.0,0.393,0.607,0.4754
gJWJo2IgLLw,411,18,0,😂😂😂😂😂😂,0.218,0.345,0.437,0.9468
gJWJo2IgLLw,411,18,0,🤣🤣,0.0,0.556,0.444,0.7506
B45EyXYyMW4,464,53,0,🦚🦚🦚🦚🦚🦚🦚,0.0,1.0,0.0,0.0
B45EyXYyMW4,464,53,0,🙏🏻🙏🏻,0.0,1.0,0.0,0.0
Iu_2MIDnk2Q,2440,21,0,😂😂😂😂🎉,0.197,0.338,0.465,0.9231
Iu_2MIDnk2Q,2440,21,0,🤣🤣🤣,0.0,0.556,0.444,0.8625
Iu_2MIDnk2Q,2440,21,0,😂😂😂,0.218,0.345,0.437,0.8271000000000001
Iu_2MIDnk2Q,2440,21,0,👌👌👌👌👌🤣🤣👍🤣,0.0,0.258,0.742,0.9901
Iu_2MIDnk2Q,2440,21,0,😂😂😂😂👌👌👌👌,0.128,0.202,0.67,0.9874
Iu_2MIDnk2Q,2440,21,0,Nice,0.0,0.0,1.0,0.4215
Iu_2MIDnk2Q,2440,21,0,❤😂😂😂😂😂❤,0.176,0.315,0.508,0.9716
rmrWnvcBCLA,1080,15,0,👍🏻👍🏻good,0.0,1.0,0.0,0.0
rmrWnvcBCLA,1080,15,0,👌👌👌,0.0,0.0,1.0,0.9545
rmrWnvcBCLA,1080,15,0,அருமை அருமையான பதிவு 👍,0.0,1.0,0.0,0.0
rmrWnvcBCLA,1080,15,0,Very nice🎉,0.0,0.248,0.752,0.7245
rmrWnvcBCLA,1080,15,0,Super 🎉🎉💪🎉🎉👌👌,0.0,0.182,0.8180000000000001,0.9775
rmrWnvcBCLA,1080,15,0,👍👍👍👍🎉🎉🎉,0.0,0.5760000000000001,0.424,0.7964
rmrWnvcBCLA,1080,15,0,👌👌👌👌👌👌👍👍👍👍👍,0.0,0.214,0.786,0.988
YxBxkrMb-bY,548,29,0,🎉🎉,0.0,0.27,0.73,0.6597000000000001
YxBxkrMb-bY,548,29,0,💯 true,0.0,0.417,0.583,0.4215
YxBxkrMb-bY,548,29,0,👍,0.0,1.0,0.0,0.0
YxBxkrMb-bY,548,29,0,Yes it's 💯 percent true ✨👍👍,0.0,0.506,0.494,0.7783
GuibyrVDkvA,10226,531,0,🙏🙏🙏🙏🙏,0.0,1.0,0.0,0.0
GuibyrVDkvA,10226,531,0,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0.218,0.345,0.437,0.9909
GuibyrVDkvA,10226,531,0,❤ ஓம் முருகா போற்றி போற்றி நீரே என்றென்றும் எல்லோருக்கும் வழி தூனையாக இருக்கும் 🎉,0.0,0.635,0.365,0.7845000000000001
GuibyrVDkvA,10226,531,0,🚩ஓம் 🐔முருகா 🦚🚩,0.0,1.0,0.0,0.0
