_id,video_id,viewCount,likeCount,dislikeCount
674b0683252cb0a46c229c6a,43JAuYBwh7I,7,2,0
674b0686252cb0a46c229c6b,C4Lr7XHXS80,453,7,0
674b0688252cb0a46c229c6c,1EGeHe9ZWkQ,22,1,0
674b068b252cb0a46c229c6d,WtL0I6N6Hgc,423,81,0
674b068e252cb0a46c229c6e,F72aRAQtZbM,87,10,0
674b0691252cb0a46c229c6f,a-U-SCybsis,494,9,0
674b0693252cb0a46c229c70,G8vK4UJzz3g,434,8,0
674b0695252cb0a46c229c71,_i5E7HgCXyk,532,10,0
674b0697252cb0a46c229c72,HrlzXUCSmtk,503,10,0
674b0699252cb0a46c229c73,X5SNTiX5Mfw,510,10,0
674b069b252cb0a46c229c74,FqU7aa6EK3c,18,4,0
674b069c252cb0a46c229c75,HbXs3IJgZIA,458,21,0
674b069d252cb0a46c229c76,eiOvZ9gzWnQ,226,4,0
674b06a0252cb0a46c229c77,oiH-B_5vojU,418,29,0
674b06a3252cb0a46c229c78,Yif3TL9hio8,481,8,0
674b06a4252cb0a46c229c79,DXpdtQ9AEtg,492,9,0
674b06a5252cb0a46c229c7a,6s8q_Cyd_MY,732,17,0
674b06a6252cb0a46c229c7b,Aew1z9CeFRk,31,6,0
674b06a7252cb0a46c229c7c,5705MIDj2tY,448,19,0
674b06a8252cb0a46c229c7d,c3wbDOVBZx8,450,22,0
674b06a9252cb0a46c229c7e,jFnxrv6X6oo,574,15,0
674b06aa252cb0a46c229c7f,24ax-LT6MKA,417,11,0
674b06ac252cb0a46c229c80,LlQzdOnWfi4,551,23,0
674b06ae252cb0a46c229c81,tbu-okzLCrU,579,18,0
674b06b0252cb0a46c229c82,PHaoK4AzIek,3122,232,0
674b06b0252cb0a46c229c83,oSb7MdI2tEY,599,11,0
674b06b1252cb0a46c229c84,TDyuhD7poJg,622,9,0
674b06b2252cb0a46c229c85,08qinj4Nf7Y,49,7,0
674b06b3252cb0a46c229c86,6KH45xsuqfU,108,4,0
674b06b4252cb0a46c229c87,TMA9J5I_szQ,3462,70,0
674b06b5252cb0a46c229c88,LHZBK4S5gPw,958,24,0
674b06b6252cb0a46c229c89,gJWJo2IgLLw,411,18,0
674b06b7252cb0a46c229c8a,B45EyXYyMW4,464,53,0
674b06b8252cb0a46c229c8b,Iu_2MIDnk2Q,2440,21,0
674b06ba252cb0a46c229c8c,rmrWnvcBCLA,1080,15,0
674b06bb252cb0a46c229c8d,YxBxkrMb-bY,548,29,0
674b06bc252cb0a46c229c8e,GuibyrVDkvA,10226,531,0
674b06bf252cb0a46c229c8f,dQQYwFSLmrY,133,12,0
674b06c0252cb0a46c229c90,YzH7-heURM8,472,13,0
674b06c2252cb0a46c229c91,bUjWDkWKJzM,1056,16,0
674b06c3252cb0a46c229c92,-ee96M0nqJ0,407,14,0
674b06c4252cb0a46c229c93,qiHVsfIIuvo,145,5,0
674b06c5252cb0a46c229c94,qmn5KV4TGQI,209,6,0
674b06c6252cb0a46c229c95,4ohZoB2ZYnI,614,21,0
674b06c6252cb0a46c229c96,8W-M324B5TE,430,19,0
674b06c7252cb0a46c229c97,tpz9CnN3HXU,501,15,0
674b06c8252cb0a46c229c98,WL6nhzLAiHI,109,8,0
674b06c9252cb0a46c229c99,Q4B1s4E7080,1480,114,0
674b06ca252cb0a46c229c9a,XrwyXH-v-pE,51,8,0
674b06cb252cb0a46c229c9b,Ax-S-6yhMIg,484,17,0
674b06cd252cb0a46c229c9c,OjyaxvAoPjc,8721,467,0
674b06ce252cb0a46c229c9d,rwd-1mcJsKk,606,10,0
674b06cf252cb0a46c229c9e,QSzi-n5YDIQ,445,19,0
674b06d1252cb0a46c229c9f,1lzesoShhok,421,15,0
674b06d3252cb0a46c229ca0,sDRuk5N-3PM,442,12,0
674b06d5252cb0a46c229ca1,MmRu5FbDfTU,492,11,0
674b06d6252cb0a46c229ca2,i6ATvA6hK-M,471,28,0
674b06d8252cb0a46c229ca3,abMGwagBEMw,58,8,0
674b06db252cb0a46c229ca4,BeaWmv5q9wk,421,11,0
674b06dd252cb0a46c229ca5,NBgh3eTlZzk,467,14,0
674b06df252cb0a46c229ca6,trBWAruhjjo,221,10,0
674b06e1252cb0a46c229ca7,rv2nKjKu4Ys,96,4,0
674b06e3252cb0a46c229ca8,oGXkgHmIyTo,92,5,0
674b06e6252cb0a46c229ca9,I4kGyPdcEXY,274,7,0
674b06e9252cb0a46c229caa,01YbEEPWi8M,1318,22,0
674b06eb252cb0a46c229cab,c6i-GmPA2gs,422,13,0
674b06ec252cb0a46c229cac,DW2QyK9D4zA,551,23,0
674b06ed252cb0a46c229cad,R4GqDpCrRoY,111,14,0
674b06ef252cb0a46c229cae,VGx19suHCwU,2737,216,0
674b06f1252cb0a46c229caf,ojvzN-X0gms,499,15,0
674b06f4252cb0a46c229cb0,_WkEkEw3qjU,543,8,0
674b06f5252cb0a46c229cb1,ariaS8yMX5k,71,6,0
674b06f6252cb0a46c229cb2,M40uDFpI4XY,3879,105,0
674b06f8252cb0a46c229cb3,MlciKQnQh_g,444,21,0
674b06fb252cb0a46c229cb4,oxsNym4tZFk,332,15,0
674b06fd252cb0a46c229cb5,MaGk6ZI8Cj8,77,6,0
674b06fe252cb0a46c229cb6,4mHj-zwXI_0,480,16,0
674b06ff252cb0a46c229cb7,d9q8G60k2LI,58,5,0
674b0700252cb0a46c229cb8,i-Xq9SVJGts,842,18,0
674b0703252cb0a46c229cb9,q_NIalv_ArA,1493,27,0
674b0705252cb0a46c229cba,ndzk17KdOhs,73,2,0
